Time (s),Position (m)
0.4860000000000004,2.429999999999998
0.4890000000000004,2.444999999999998
0.4920000000000004,2.459999999999998
0.4950000000000004,2.4749999999999983
0.4980000000000004,2.4899999999999984
0.5010000000000003,2.5049999999999986
0.5040000000000003,2.5199999999999987
0.5070000000000003,2.534999999999999
0.5100000000000003,2.549999999999999
0.5130000000000003,2.564999999999999
0.5160000000000003,2.579999999999999
0.5190000000000003,2.5949999999999993
0.5220000000000004,2.6099999999999994
0.5250000000000004,2.6249999999999996
0.5280000000000004,2.6399999999999997
0.5310000000000004,2.655
0.5340000000000004,2.67
0.5370000000000004,2.685
0.5400000000000004,2.7
0.5430000000000004,2.7150000000000003
0.5460000000000004,2.7300000000000004
0.5490000000000004,2.7450000000000006
0.5520000000000004,2.7600000000000007
0.5550000000000004,2.775000000000001
