Time (s),Position (m)
1.5400000000000011,-1.202365999999998
1.5500000000000012,-1.210244999999998
1.5600000000000012,-1.218123999999998
1.5700000000000012,-1.226002999999998
1.5800000000000012,-1.233881999999998
1.5900000000000012,-1.241760999999998
1.6000000000000012,-1.2496399999999979
1.6100000000000012,-1.2575189999999978
1.6200000000000012,-1.2653979999999978
1.6300000000000012,-1.2732769999999978
1.6400000000000012,-1.2811559999999977
1.6500000000000012,-1.2890349999999977
1.6600000000000013,-1.2969139999999977
1.6700000000000013,-1.3047929999999976
1.6800000000000013,-1.3126719999999976
1.6900000000000013,-1.3205509999999976
1.7000000000000013,-1.3284299999999976
1.7100000000000013,-1.3363089999999975
1.7200000000000013,-1.3441879999999975
1.7300000000000013,-1.3520669999999975
1.7400000000000013,-1.3599459999999974
